game,noise_pair,noise_ratio,seed,method,method_p1,method_p2,final_reward_p1,final_reward_p2,mean_reward_p1,mean_reward_p2,final_distance_to_nash,avg_noise_norm_p1,avg_noise_norm_p2,weight_p1,weight_p2
matching_pennies,"1,1",1.0,0,standard,standard,standard,0.006664430942393398,-0.006664430942393398,0.04634627911886541,-0.04634627911886541,0.4965513594246287,1.223264436096033,1.2727148775394699,1.0,1.0
matching_pennies,"1,1",1.0,0,ew,ew,ew,0.8097348300321596,-0.8097348300321596,0.10198461665002498,-0.10198461665002498,1.2732882257001523,1.290197275504466,1.1248658650431491,1.0,1.0
matching_pennies,"1,1",1.0,0,lola,lola,lola,-0.28711580713230306,0.28711580713230306,-0.2037024348742821,0.2037024348742821,0.8439964967131193,1.330198490605759,1.254904137277126,1.0,1.0
matching_pennies,"1,1",1.0,0,ew_lola,ew_lola,ew_lola,0.6322916483865377,-0.6322916483865377,0.17744256361574956,-0.17744256361574956,1.1267807586866978,1.0271574357890678,1.2914619781552128,1.0,1.0
matching_pennies,"1,1",1.0,1,standard,standard,standard,-0.8345983017644396,0.8345983017644396,-0.15764728700973427,0.15764728700973427,1.292245471341532,1.0739378375656534,1.1985726867767155,1.0,1.0
matching_pennies,"1,1",1.0,1,ew,ew,ew,-0.19100161818303146,0.19100161818303146,0.19513719815415284,-0.19513719815415284,0.7757882868426044,1.2526486604046199,1.1421902584052332,1.0,1.0
matching_pennies,"1,1",1.0,1,lola,lola,lola,0.2969694757083495,-0.2969694757083495,-0.07432321246178114,0.07432321246178114,0.7713221463908754,1.1696826719706952,1.3443620087425194,1.0,1.0
matching_pennies,"1,1",1.0,1,ew_lola,ew_lola,ew_lola,-0.12234799434779037,0.12234799434779037,0.020396377933708534,-0.020396377933708534,0.5069069411740295,1.3970483794335251,1.2607511275232939,1.0,1.0
matching_pennies,"1,1",1.0,2,standard,standard,standard,0.7824154266761452,-0.7824154266761452,0.19564332383741959,-0.19564332383741959,1.2528345299829668,1.1481139218166765,1.102592639814062,1.0,1.0
matching_pennies,"1,1",1.0,2,ew,ew,ew,0.049476260299515185,-0.049476260299515185,0.046077465263144636,-0.046077465263144636,0.3771987915402891,1.326952551842768,1.069647145465301,1.0,1.0
matching_pennies,"1,1",1.0,2,lola,lola,lola,0.7582246903447406,-0.7582246903447406,0.06073713901931756,-0.06073713901931756,1.2323776677193377,1.2251259816085527,1.3363925211355272,1.0,1.0
matching_pennies,"1,1",1.0,2,ew_lola,ew_lola,ew_lola,-0.3117332798902185,0.3117332798902185,0.03927871835438015,-0.03927871835438015,0.8000506096599864,1.096911881471287,1.2628951063943685,1.0,1.0
matching_pennies,"1,1",1.0,3,standard,standard,standard,-1.0829555903785204e-05,1.0829555903785204e-05,-0.007137712718642081,0.007137712718642081,0.14723499101408843,1.1934208414412317,1.0994145862522742,1.0,1.0
matching_pennies,"1,1",1.0,3,ew,ew,ew,-0.05579235490195428,0.05579235490195428,-0.11183686360214713,0.11183686360214713,0.373701544562525,1.1573804268812449,1.0844604203488912,1.0,1.0
matching_pennies,"1,1",1.0,3,lola,lola,lola,0.017967300668000827,-0.017967300668000827,0.03439273481243583,-0.03439273481243583,0.3718512474560371,1.2281172386618868,1.2037724292018632,1.0,1.0
matching_pennies,"1,1",1.0,3,ew_lola,ew_lola,ew_lola,0.3053065619215269,-0.3053065619215269,0.11984734081313193,-0.11984734081313193,0.793189693094323,1.1848163643874592,1.1971728244331163,1.0,1.0
matching_pennies,"1,1",1.0,4,standard,standard,standard,-0.05226103405192578,0.05226103405192578,0.11554174278096943,-0.11554174278096943,0.4121074945947145,1.331756199068057,1.1947477387316765,1.0,1.0
matching_pennies,"1,1",1.0,4,ew,ew,ew,0.16074494787894195,-0.16074494787894195,0.05373718767815373,-0.05373718767815373,0.5700035969427603,1.1621778223237502,1.3477063177496083,1.0,1.0
matching_pennies,"1,1",1.0,4,lola,lola,lola,-0.4955674161652424,0.4955674161652424,0.014560781437547016,-0.014560781437547016,1.043675506387547,1.1946364496708464,1.2063207250069221,1.0,1.0
matching_pennies,"1,1",1.0,4,ew_lola,ew_lola,ew_lola,-0.9058196361292105,0.9058196361292105,-0.40933023979735267,0.40933023979735267,1.3473211135708048,1.301834403145561,1.1926660640523892,1.0,1.0
matching_pennies,"1,1",1.0,5,standard,standard,standard,0.9143436590314185,-0.9143436590314185,0.27594145085756827,-0.27594145085756827,1.3523175846152116,1.3553126462008167,1.4296462200974682,1.0,1.0
matching_pennies,"1,1",1.0,5,ew,ew,ew,0.14585467586883563,-0.14585467586883563,0.020353707723024944,-0.020353707723024944,0.5935031663395394,0.9508463045312345,1.2695690913916393,1.0,1.0
matching_pennies,"1,1",1.0,5,lola,lola,lola,-0.5457281390019169,0.5457281390019169,0.01729182268690739,-0.01729182268690739,1.063662099074457,1.2213354198589859,1.1506731163645196,1.0,1.0
matching_pennies,"1,1",1.0,5,ew_lola,ew_lola,ew_lola,-0.05979574012820149,0.05979574012820149,-0.05976120972863171,0.05976120972863171,0.3458317973735051,1.323295041771354,1.1267444592943285,1.0,1.0
matching_pennies,"1,1",1.0,6,standard,standard,standard,0.02227922130914181,-0.02227922130914181,0.2395826332409397,-0.2395826332409397,0.38235376081384537,1.291316378640499,1.2659270792001316,1.0,1.0
matching_pennies,"1,1",1.0,6,ew,ew,ew,-0.3783635186598448,0.3783635186598448,-0.1343933206170274,0.1343933206170274,0.8817043739262824,1.2098402270300823,1.35236395680517,1.0,1.0
matching_pennies,"1,1",1.0,6,lola,lola,lola,-0.5238188990776731,0.5238188990776731,-0.1693679663895523,0.1693679663895523,1.0555417495069213,1.1921934188071102,1.318073592719161,1.0,1.0
matching_pennies,"1,1",1.0,6,ew_lola,ew_lola,ew_lola,-0.37555951042199814,0.37555951042199814,0.2831700420843258,-0.2831700420843258,0.9373198280450646,1.120373446689905,1.2404574953297212,1.0,1.0
matching_pennies,"1,1",1.0,7,standard,standard,standard,-0.2553570283527181,0.2553570283527181,-0.04858807944799889,0.04858807944799889,0.7215218960172205,1.1366210533153192,1.2801270620149618,1.0,1.0
matching_pennies,"1,1",1.0,7,ew,ew,ew,-0.5917878661620303,0.5917878661620303,-0.20071042968250233,0.20071042968250233,1.1155663440720998,1.3744516885672335,1.437495470516179,1.0,1.0
matching_pennies,"1,1",1.0,7,lola,lola,lola,0.6546011739253249,-0.6546011739253249,0.01972090341615105,-0.01972090341615105,1.1544150235315551,1.2803917863670642,1.1530874897854613,1.0,1.0
matching_pennies,"1,1",1.0,7,ew_lola,ew_lola,ew_lola,-0.4399945505558196,0.4399945505558196,-0.029679528952944227,0.029679528952944227,0.9592333966579976,1.3800838883376918,1.1853669737028818,1.0,1.0
matching_pennies,"4,1",16.0,0,standard,standard,standard,0.8618907434862566,-0.8618907434862566,-0.1471885442347181,0.1471885442347181,1.3129521383474103,4.893057744384132,1.2727148775394699,1.0,1.0
matching_pennies,"4,1",16.0,0,ew,ew,ew,-0.056326332273576855,0.056326332273576855,-0.09979069888482708,0.09979069888482708,0.694252432979954,5.160789102017864,1.1248658650431491,0.0625,1.0
matching_pennies,"4,1",16.0,0,lola,lola,lola,-0.9391325481111832,0.9391325481111832,-0.5996112551514946,0.5996112551514946,1.371173772903296,5.320793962423036,1.254904137277126,1.0,1.0
matching_pennies,"4,1",16.0,0,ew_lola,ew_lola,ew_lola,-0.16282840397574977,0.16282840397574977,-0.08680832590498797,0.08680832590498797,0.7996538548130133,4.108629743156271,1.2914619781552128,0.0625,1.0
matching_pennies,"4,1",16.0,1,standard,standard,standard,-0.9845416952576986,0.9845416952576986,-0.6380298114423011,0.6380298114423011,1.4032828850128793,4.295751350262614,1.1985726867767155,1.0,1.0
matching_pennies,"4,1",16.0,1,ew,ew,ew,0.03998135401999853,-0.03998135401999853,-0.025912388026783178,0.025912388026783178,0.46046476267908076,5.0105946416184795,1.1421902584052332,0.0625,1.0
matching_pennies,"4,1",16.0,1,lola,lola,lola,-0.8832460875368534,0.8832460875368534,-0.7115752634799998,0.7115752634799998,1.3316552705278653,4.678730687882781,1.3443620087425194,1.0,1.0
matching_pennies,"4,1",16.0,1,ew_lola,ew_lola,ew_lola,-0.1325766838406987,0.1325766838406987,-0.03618630374471762,0.03618630374471762,0.567458258858357,5.5881935177341004,1.2607511275232939,0.0625,1.0
matching_pennies,"4,1",16.0,2,standard,standard,standard,-0.8816519512423843,0.8816519512423843,-0.6249969700084881,0.6249969700084881,1.3283113367294168,4.592455687266706,1.102592639814062,1.0,1.0
matching_pennies,"4,1",16.0,2,ew,ew,ew,0.010454973101953036,-0.010454973101953036,0.003925041451279902,-0.003925041451279902,0.5193339697569557,5.307810207371072,1.069647145465301,0.0625,1.0
matching_pennies,"4,1",16.0,2,lola,lola,lola,0.9840738662831822,-0.9840738662831822,-0.2347624555375897,0.2347624555375897,1.4029114716978957,4.900503926434211,1.3363925211355272,1.0,1.0
matching_pennies,"4,1",16.0,2,ew_lola,ew_lola,ew_lola,0.024079200848592386,-0.024079200848592386,0.008375484434670673,-0.008375484434670673,0.29625404909753816,4.387647525885148,1.2628951063943685,0.0625,1.0
matching_pennies,"4,1",16.0,3,standard,standard,standard,-0.9209055816606335,0.9209055816606335,-0.6885007873162159,0.6885007873162159,1.358275078857314,4.773683365764927,1.0994145862522742,1.0,1.0
matching_pennies,"4,1",16.0,3,ew,ew,ew,0.012819330126596029,-0.012819330126596029,0.02617529920904581,-0.02617529920904581,0.6432887477366894,4.6295217075249795,1.0844604203488912,0.0625,1.0
matching_pennies,"4,1",16.0,3,lola,lola,lola,0.6938850102740348,-0.6938850102740348,-0.036234412028202656,0.036234412028202656,1.1903754805255158,4.912468954647547,1.2037724292018632,1.0,1.0
matching_pennies,"4,1",16.0,3,ew_lola,ew_lola,ew_lola,-0.017152683762472684,0.017152683762472684,0.0018500868504102697,-0.0018500868504102697,0.4385125901636272,4.739265457549837,1.1971728244331163,0.0625,1.0
matching_pennies,"4,1",16.0,4,standard,standard,standard,-0.9248263364903205,0.9248263364903205,-0.6743621351262097,0.6743621351262097,1.3610435707586879,5.327024796272228,1.1947477387316765,1.0,1.0
matching_pennies,"4,1",16.0,4,ew,ew,ew,-0.10308568863231501,0.10308568863231501,-0.023940340305035605,0.023940340305035605,0.5692334738843405,4.648711289295001,1.3477063177496083,0.0625,1.0
matching_pennies,"4,1",16.0,4,lola,lola,lola,-0.6770763801651087,0.6770763801651087,-0.15814463004689738,0.15814463004689738,1.1858638785999038,4.7785457986833855,1.2063207250069221,1.0,1.0
matching_pennies,"4,1",16.0,4,ew_lola,ew_lola,ew_lola,-0.4162531590034957,0.4162531590034957,-0.06280113384428003,0.06280113384428003,0.9128251600322216,5.207337612582244,1.1926660640523892,0.0625,1.0
matching_pennies,"4,1",16.0,5,standard,standard,standard,0.9835742264117701,-0.9835742264117701,0.0004953882629141649,-0.0004953882629141649,1.4025596578292334,5.421250584803267,1.4296462200974682,1.0,1.0
matching_pennies,"4,1",16.0,5,ew,ew,ew,-0.02269535283143362,0.02269535283143362,-0.02806521596164998,0.02806521596164998,0.36460997771460546,3.803385218124938,1.2695690913916393,0.0625,1.0
matching_pennies,"4,1",16.0,5,lola,lola,lola,-0.8427343084638854,0.8427343084638854,-0.06101324523788284,0.06101324523788284,1.3029966483962507,4.885341679435943,1.1506731163645196,1.0,1.0
matching_pennies,"4,1",16.0,5,ew_lola,ew_lola,ew_lola,0.16233524474223265,-0.16233524474223265,0.06577236924983769,-0.06577236924983769,0.5941626195734339,5.293180167085416,1.1267444592943285,0.0625,1.0
matching_pennies,"4,1",16.0,6,standard,standard,standard,-0.12427602705957758,0.12427602705957758,0.16629752449925603,-0.16629752449925603,0.5116122221657514,5.165265514561996,1.2659270792001316,1.0,1.0
matching_pennies,"4,1",16.0,6,ew,ew,ew,-0.10846209197348816,0.10846209197348816,0.00248091946845467,-0.00248091946845467,0.47082623938437146,4.839360908120329,1.35236395680517,0.0625,1.0
matching_pennies,"4,1",16.0,6,lola,lola,lola,-0.9673519578170724,0.9673519578170724,-0.42325478180225823,0.42325478180225823,1.3911271552773998,4.768773675228441,1.318073592719161,1.0,1.0
matching_pennies,"4,1",16.0,6,ew_lola,ew_lola,ew_lola,0.06607878614590956,-0.06607878614590956,0.07541782215806746,-0.07541782215806746,0.3646547283623026,4.48149378675962,1.2404574953297212,0.0625,1.0
matching_pennies,"4,1",16.0,7,standard,standard,standard,-0.8708892964739983,0.8708892964739983,-0.540459482469539,0.540459482469539,1.322918505966742,4.546484213261277,1.2801270620149618,1.0,1.0
matching_pennies,"4,1",16.0,7,ew,ew,ew,0.26860451382346306,-0.26860451382346306,0.02292127758240818,-0.02292127758240818,0.7862808956559282,5.497806754268934,1.437495470516179,0.0625,1.0
matching_pennies,"4,1",16.0,7,lola,lola,lola,-0.9733647032693791,0.9733647032693791,-0.774619793572585,0.774619793572585,1.3953793745840364,5.121567145468257,1.1530874897854613,1.0,1.0
matching_pennies,"4,1",16.0,7,ew_lola,ew_lola,ew_lola,-0.0033947389885946033,0.0033947389885946033,-0.02729276492959092,0.02729276492959092,0.20200945115442162,5.520335553350767,1.1853669737028818,0.0625,1.0
matching_pennies,"16,1",256.0,0,standard,standard,standard,0.9001298647074667,-0.9001298647074667,-0.43082905478077427,0.43082905478077427,1.3417878530225136,19.572230977536528,1.2727148775394699,1.0,1.0
matching_pennies,"16,1",256.0,0,ew,ew,ew,-0.037007171203772296,0.037007171203772296,-0.028580199876512752,0.028580199876512752,0.6531546559205434,20.643156408071455,1.1248658650431491,0.00390625,1.0
matching_pennies,"16,1",256.0,0,lola,lola,lola,-0.9361783100364734,0.9361783100364734,-0.5799169109860428,0.5799169109860428,1.3690848126131,21.283175849692142,1.254904137277126,1.0,1.0
matching_pennies,"16,1",256.0,0,ew_lola,ew_lola,ew_lola,-0.08581862423466641,0.08581862423466641,-0.041667365662785276,0.041667365662785276,0.7436631594257396,16.434518972625085,1.2914619781552128,0.00390625,1.0
matching_pennies,"16,1",256.0,1,standard,standard,standard,-0.9858970550696926,0.9858970550696926,-0.7222364936432817,0.7222364936432817,1.4042412743781743,17.183005401050455,1.1985726867767155,1.0,1.0
matching_pennies,"16,1",256.0,1,ew,ew,ew,-0.016797655090125915,0.016797655090125915,-0.022464912367375175,0.022464912367375175,0.40611516039342616,20.042378566473918,1.1421902584052332,0.00390625,1.0
matching_pennies,"16,1",256.0,1,lola,lola,lola,-0.8930881821694812,0.8930881821694812,-0.7423536054778912,0.7423536054778912,1.3386154909961543,18.714922751531123,1.3443620087425194,1.0,1.0
matching_pennies,"16,1",256.0,1,ew_lola,ew_lola,ew_lola,-0.05277608208564108,0.05277608208564108,-0.02196732325302297,0.02196732325302297,0.4390556196048086,22.352774070936402,1.2607511275232939,0.00390625,1.0
matching_pennies,"16,1",256.0,2,standard,standard,standard,-0.8977817557653781,0.8977817557653781,-0.5993895325654517,0.5993895325654517,1.3419343402025836,18.369822749066824,1.102592639814062,1.0,1.0
matching_pennies,"16,1",256.0,2,ew,ew,ew,-0.035717776742885565,0.035717776742885565,-0.016545135260232997,0.016545135260232997,0.5838141995809768,21.23124082948429,1.069647145465301,0.00390625,1.0
matching_pennies,"16,1",256.0,2,lola,lola,lola,0.9883572990279295,-0.9883572990279295,-0.7179643522924453,0.7179643522924453,1.4059631892828768,19.602015705736843,1.3363925211355272,1.0,1.0
matching_pennies,"16,1",256.0,2,ew_lola,ew_lola,ew_lola,0.018215332479938978,-0.018215332479938978,0.005848932120407574,-0.005848932120407574,0.33391595817008957,17.550590103540593,1.2628951063943685,0.00390625,1.0
matching_pennies,"16,1",256.0,3,standard,standard,standard,-0.9286649259061557,0.9286649259061557,-0.7679184836770713,0.7679184836770713,1.363772047744893,19.094733463059708,1.0994145862522742,1.0,1.0
matching_pennies,"16,1",256.0,3,ew,ew,ew,-0.1862763120002382,0.1862763120002382,-0.11217207550286538,0.11217207550286538,0.8172613227152781,18.518086830099918,1.0844604203488912,0.00390625,1.0
matching_pennies,"16,1",256.0,3,lola,lola,lola,0.8592798561052473,-0.8592798561052473,-0.20392172975234177,0.20392172975234177,1.3146959432810426,19.64987581859019,1.2037724292018632,1.0,1.0
matching_pennies,"16,1",256.0,3,ew_lola,ew_lola,ew_lola,0.030489038082583964,-0.030489038082583964,0.04983736021309247,-0.04983736021309247,0.25420246604923774,18.957061830199347,1.1971728244331163,0.00390625,1.0
matching_pennies,"16,1",256.0,4,standard,standard,standard,-0.9264426016173007,0.9264426016173007,-0.7068620118226477,0.7068620118226477,1.3622006271702478,21.308099185088913,1.1947477387316765,1.0,1.0
matching_pennies,"16,1",256.0,4,ew,ew,ew,-0.05117472192248998,0.05117472192248998,-0.01864240797769601,0.01864240797769601,0.48890877999887083,18.594845157180004,1.3477063177496083,0.00390625,1.0
matching_pennies,"16,1",256.0,4,lola,lola,lola,-0.7564607957236095,0.7564607957236095,-0.3615615062780287,0.3615615062780287,1.2420053395444834,19.114183194733542,1.2063207250069221,1.0,1.0
matching_pennies,"16,1",256.0,4,ew_lola,ew_lola,ew_lola,0.016183039689977807,-0.016183039689977807,0.01318375374618121,-0.01318375374618121,0.18722819501233143,20.829350450328977,1.1926660640523892,0.00390625,1.0
matching_pennies,"16,1",256.0,5,standard,standard,standard,0.9926033372828115,-0.9926033372828115,-0.3250466406056689,0.3250466406056689,1.4089833106576015,21.685002339213067,1.4296462200974682,1.0,1.0
matching_pennies,"16,1",256.0,5,ew,ew,ew,-0.0013405143451722945,0.0013405143451722945,0.0007044017546724308,-0.0007044017546724308,0.08433939394400294,15.213540872499753,1.2695690913916393,0.00390625,1.0
matching_pennies,"16,1",256.0,5,lola,lola,lola,-0.8910498279102161,0.8910498279102161,-0.14813411360521106,0.14813411360521106,1.3371741568769675,19.541366717743774,1.1506731163645196,1.0,1.0
matching_pennies,"16,1",256.0,5,ew_lola,ew_lola,ew_lola,0.08102302913117473,-0.08102302913117473,0.037257067493345716,-0.037257067493345716,0.676060372704184,21.172720668341665,1.1267444592943285,0.00390625,1.0
matching_pennies,"16,1",256.0,6,standard,standard,standard,-0.8381527225563175,0.8381527225563175,0.2411406221563222,-0.2411406221563222,1.2968830333214216,20.661062058247985,1.2659270792001316,1.0,1.0
matching_pennies,"16,1",256.0,6,ew,ew,ew,0.019140416370490992,-0.019140416370490992,0.000706141703350156,-0.000706141703350156,0.24338363170206698,19.357443632481317,1.35236395680517,0.00390625,1.0
matching_pennies,"16,1",256.0,6,lola,lola,lola,-0.9668645720822929,0.9668645720822929,-0.39324327256231223,0.39324327256231223,1.3907832765949664,19.075094700913763,1.318073592719161,1.0,1.0
matching_pennies,"16,1",256.0,6,ew_lola,ew_lola,ew_lola,0.0025800125486183656,-0.0025800125486183656,-0.000373070413675702,0.000373070413675702,0.32639391624191605,17.92597514703848,1.2404574953297212,0.00390625,1.0
matching_pennies,"16,1",256.0,7,standard,standard,standard,-0.8770450653464112,0.8770450653464112,-0.5858531320562375,0.5858531320562375,1.3272712942991935,18.185936853045106,1.2801270620149618,1.0,1.0
matching_pennies,"16,1",256.0,7,ew,ew,ew,0.062306110387005065,-0.062306110387005065,0.005234989093774378,-0.005234989093774378,0.641857342122391,21.991227017075737,1.437495470516179,0.00390625,1.0
matching_pennies,"16,1",256.0,7,lola,lola,lola,-0.9750769840151525,0.9750769840151525,-0.8031544518936331,0.8031544518936331,1.3965903287625887,20.486268581873027,1.1530874897854613,1.0,1.0
matching_pennies,"16,1",256.0,7,ew_lola,ew_lola,ew_lola,0.011869892110360325,-0.011869892110360325,-0.0056642166700224235,0.0056642166700224235,0.3503413701348196,22.08134221340307,1.1853669737028818,0.00390625,1.0
