game,noise_pair,noise_ratio,seed,step,method,reward_p1,reward_p2,lambda_step,distance_to_nash,avg_grad_norm_p1,avg_grad_norm_p2,avg_noise_norm_p1,avg_noise_norm_p2
matching_pennies,"1,1",1.0,0,0,standard,0.014470642269091338,-0.014470642269091338,0.2392558049953953,0.22157300518882383,0.018925911530318525,0.009108809624713441,0.7989099019834672,1.6399652522526933
matching_pennies,"1,1",1.0,0,1,standard,0.03702511187171581,-0.03702511187171581,0.20867794400977166,0.2845486007306328,0.10005879308291109,0.023141918154519978,0.8459207235074371,0.8497618581163328
matching_pennies,"1,1",1.0,0,2,standard,0.06675953556586317,-0.06675953556586317,0.18589446419403266,0.3693921658764037,0.12675006838849498,0.046721458020634786,1.0570174667159682,0.7394426584451694
matching_pennies,"1,1",1.0,0,3,standard,0.013301973748775231,-0.013301973748775231,0.16817928305074292,0.17220726582302684,0.14537375610931322,0.07091281775023114,1.0498632576077385,0.7659142443511544
matching_pennies,"1,1",1.0,0,4,standard,0.024460918827155897,-0.024460918827155897,0.1539600717839002,0.2464189871464627,0.13888808439808126,0.06812448852097835,1.1440987467574257,1.080389865394968
matching_pennies,"1,1",1.0,0,5,standard,0.21513728436425647,-0.21513728436425647,0.14226235280311383,0.6601842788573187,0.14504661651766548,0.06752908626797238,1.2594323114426427,1.274885621573034
matching_pennies,"1,1",1.0,0,6,standard,0.07190536588327243,-0.07190536588327243,0.13244802086093616,0.5236324163641084,0.16781368572771,0.08841606319807147,1.4158055658455777,1.3365466407136868
matching_pennies,"1,1",1.0,0,7,standard,-0.0931522733923405,0.0931522733923405,0.12408064788027995,0.5911471351463453,0.20140110729409527,0.0835474774578705,1.5838258415493076,1.2879225566878534
matching_pennies,"1,1",1.0,0,0,ew,-0.0001443209356410402,0.0001443209356410402,0.2392558049953953,0.019184062616208593,0.018925911530318525,0.009108809624713441,0.4487656142219269,0.8965900696156418
matching_pennies,"1,1",1.0,0,1,ew,-0.0032620165976358917,0.0032620165976358917,0.20867794400977166,0.11028365753946216,0.016486076689771135,0.0071219308569782135,0.6519908481946748,0.6425034934150906
matching_pennies,"1,1",1.0,0,2,ew,0.0007410172323025765,-0.0007410172323025765,0.18589446419403266,0.077603097638017,0.016755607932694917,0.03562436720773287,0.9281487537546385,0.6814190192259383
matching_pennies,"1,1",1.0,0,3,ew,0.020339003874571715,-0.020339003874571715,0.16817928305074292,0.22386796242939988,0.013831032063660187,0.04484034737685383,1.0361494638856161,0.7409657460713677
matching_pennies,"1,1",1.0,0,4,ew,0.05471003236822186,-0.05471003236822186,0.1539600717839002,0.35500620933441285,0.02308331769962651,0.06771672803334519,0.9589292454190452,0.7616462205567999
matching_pennies,"1,1",1.0,0,5,ew,-0.054652469670744275,0.054652469670744275,0.14226235280311383,0.5088953529105845,0.035874071933592676,0.0957232674931494,1.1773779621657388,0.868622885584102
matching_pennies,"1,1",1.0,0,6,ew,-0.008008026679772628,0.008008026679772628,0.13244802086093616,0.4662213889889721,0.03596834771759704,0.14555550960737276,1.0765356756137636,0.9140951329476378
matching_pennies,"1,1",1.0,0,7,ew,-0.21488602216873592,0.21488602216873592,0.12408064788027995,0.6556304477903041,0.03210844361209981,0.18453591595827962,1.2129463527439537,1.1500481049839923
matching_pennies,"1,1",1.0,0,0,lola,0.008802935616371216,-0.008802935616371216,0.2392558049953953,0.19208976007594955,0.018925911530318525,0.009108809624713441,0.49934757384564415,1.4586164278847054
matching_pennies,"1,1",1.0,0,1,lola,-0.0003570478208556882,0.0003570478208556882,0.20867794400977166,0.08427402811271685,0.09209278967515733,0.017123973967815013,0.4501434121433885,1.2086919446101971
matching_pennies,"1,1",1.0,0,2,lola,-0.013654141279839216,0.013654141279839216,0.18589446419403266,0.31975099741023755,0.08876144997880697,0.012131038511058756,0.4749728976531533,1.4421450617485547
matching_pennies,"1,1",1.0,0,3,lola,-0.0022636869394348502,0.0022636869394348502,0.16817928305074292,0.2823580853487391,0.1406786612777417,0.013836973055507643,0.41258659386828267,1.2079380114234106
matching_pennies,"1,1",1.0,0,4,lola,0.1392357310968037,-0.1392357310968037,0.1539600717839002,0.5434225983736298,0.16819928018289523,0.01175701024471426,0.9255334605047235,1.3724898202373463
matching_pennies,"1,1",1.0,0,5,lola,0.10583833760872635,-0.10583833760872635,0.14226235280311383,0.4777440609897554,0.16682739299611174,0.06109597492051259,0.8790528995790936,1.2654794897496118
matching_pennies,"1,1",1.0,0,6,lola,0.20904161934639048,-0.20904161934639048,0.13244802086093616,0.6692428911520978,0.1633422817679726,0.09304637980709665,0.9514162752769738,1.450606547740684
matching_pennies,"1,1",1.0,0,7,lola,0.1029994601371079,-0.1029994601371079,0.12408064788027995,0.5655925422137191,0.16296327745512718,0.12754471058098787,0.9263887334312422,1.3760396797049101
matching_pennies,"1,1",1.0,0,0,ew_lola,-0.009845555065786993,0.009845555065786993,0.2392558049953953,0.1742790140121106,0.018925911530318525,0.009108809624713441,1.1575418750692432,1.0169434792047967
matching_pennies,"1,1",1.0,0,1,ew_lola,0.024100667041738078,-0.024100667041738078,0.20867794400977166,0.21994626561597402,0.07869665383696442,0.021602276862072868,1.0721180829903536,0.6231158422290115
matching_pennies,"1,1",1.0,0,2,ew_lola,0.019561152416528838,-0.019561152416528838,0.18589446419403266,0.20361794706271086,0.09049676687610268,0.047917658168444545,0.8217732933064466,0.48004764702890457
matching_pennies,"1,1",1.0,0,3,ew_lola,0.015671115235851685,-0.015671115235851685,0.16817928305074292,0.21035973428841376,0.09898923367738603,0.054730321408304916,0.9007528398112097,0.9549426244407132
matching_pennies,"1,1",1.0,0,4,ew_lola,0.04456672175895027,-0.04456672175895027,0.1539600717839002,0.34435668592968094,0.11143752728387493,0.05295074928211542,0.8124432508129328,0.9457780354820613
matching_pennies,"1,1",1.0,0,5,ew_lola,0.05132744926317245,-0.05132744926317245,0.14226235280311383,0.3204830061267866,0.13521978303949223,0.05660542027924376,0.8351780490746056,0.964595175679836
matching_pennies,"1,1",1.0,0,6,ew_lola,0.1341918788364414,-0.1341918788364414,0.13244802086093616,0.5188475282526495,0.13706517409458344,0.07078977598937555,0.804894917983957,1.1381784785631754
matching_pennies,"1,1",1.0,0,7,ew_lola,0.14679725653152526,-0.14679725653152526,0.12408064788027995,0.5424067800844571,0.15003708384787337,0.0879887978983177,0.7369185450108108,1.0192499994129665
rock_paper_scissors,"1,1",1.0,0,0,standard,0.02230389349399753,-0.02230389349399753,0.2392558049953953,0.22910108654702654,0.012537197355767962,0.010721977602293353,1.509706765445352,1.358622569577063
rock_paper_scissors,"1,1",1.0,0,1,standard,0.015336349389076576,-0.015336349389076576,0.20867794400977166,0.24891931458744693,0.038734031236806604,0.036682724647096536,1.371324576686172,1.1642399346475902
rock_paper_scissors,"1,1",1.0,0,2,standard,-0.019958456013582065,0.019958456013582065,0.18589446419403266,0.25614335409886707,0.03899324543381761,0.05676803861400848,1.2600267206702658,1.3544227476806896
rock_paper_scissors,"1,1",1.0,0,3,standard,-0.09281199965635031,0.09281199965635031,0.16817928305074292,0.5050350263899208,0.03723615135182645,0.06938781504655914,1.6546501008084396,1.6195722064399685
rock_paper_scissors,"1,1",1.0,0,4,standard,-0.005323442163922748,0.005323442163922748,0.1539600717839002,0.11465508736043291,0.056770252376986984,0.08816864719859378,1.9046237142684284,1.8482845973633868
rock_paper_scissors,"1,1",1.0,0,5,standard,-0.01293677528260355,0.01293677528260355,0.14226235280311383,0.20923797495702934,0.05211909667594592,0.07947686682661254,1.7651977033801067,1.6450996001291098
rock_paper_scissors,"1,1",1.0,0,6,standard,-0.0014086783735726416,0.0014086783735726416,0.13244802086093616,0.08582767163929293,0.04918052666576931,0.08144177121983386,1.8532739492960386,1.6920436923186146
rock_paper_scissors,"1,1",1.0,0,7,standard,0.012347781609350086,-0.012347781609350086,0.12408064788027995,0.18245964007829468,0.04740571378271747,0.07310832926658557,1.8318474107503224,1.5724047216289414
rock_paper_scissors,"1,1",1.0,0,0,ew,-0.0018913056876332518,0.0018913056876332518,0.2392558049953953,0.12225251379205801,0.012537197355767962,0.010721977602293353,0.6199471609029027,1.1628948337350162
rock_paper_scissors,"1,1",1.0,0,1,ew,-0.006485218729122708,0.006485218729122708,0.20867794400977166,0.17172831491778304,0.020240214674444236,0.02679340973258176,0.6032765829292538,1.3837872909950262
rock_paper_scissors,"1,1",1.0,0,2,ew,0.015471405317232262,-0.015471405317232262,0.18589446419403266,0.19419383785415645,0.03509981224889449,0.02993509356173582,0.9473389675944345,1.144513016061282
rock_paper_scissors,"1,1",1.0,0,3,ew,0.07581088283056397,-0.07581088283056397,0.16817928305074292,0.42155038495917485,0.04066594701398996,0.03734177906219264,1.2726047974575114,1.2751173141912913
rock_paper_scissors,"1,1",1.0,0,4,ew,0.1325441417395427,-0.1325441417395427,0.1539600717839002,0.5764357779381251,0.05864556680014159,0.05655681366217145,1.2734151953886923,1.4537153690366502
rock_paper_scissors,"1,1",1.0,0,5,ew,0.10644948970862432,-0.10644948970862432,0.14226235280311383,0.7044777891047082,0.08001502295548209,0.0779046447416385,1.5410306100542,1.5917510133868655
rock_paper_scissors,"1,1",1.0,0,6,ew,0.1347846760127719,-0.1347846760127719,0.13244802086093616,0.7030516478040931,0.10414450762588147,0.09454228256188786,1.4380249075814553,1.552925350219579
rock_paper_scissors,"1,1",1.0,0,7,ew,0.07031122454885258,-0.07031122454885258,0.12408064788027995,0.6473450302086345,0.12057603730916792,0.1031771150959779,1.4774895159984203,1.55146934428135
rock_paper_scissors,"1,1",1.0,0,0,lola,-0.0016121882092643702,0.0016121882092643702,0.2392558049953953,0.20508110247130035,0.012537197355767962,0.010721977602293353,1.5165206064103396,0.487675523353164
rock_paper_scissors,"1,1",1.0,0,1,lola,0.011530579163629831,-0.011530579163629831,0.20867794400977166,0.1769426102012972,0.02039361083187981,0.04507951529259796,1.2995186280593845,1.2013225130568417
rock_paper_scissors,"1,1",1.0,0,2,lola,0.03214736332063059,-0.03214736332063059,0.18589446419403266,0.4004960040484067,0.03137796946550594,0.04630773008159694,1.0368360489039692,1.7958132866572116
rock_paper_scissors,"1,1",1.0,0,3,lola,0.09523062593198207,-0.09523062593198207,0.16817928305074292,0.5016422953422264,0.0702537823776683,0.04219331707411975,1.2853663386069418,1.5906099037665042
rock_paper_scissors,"1,1",1.0,0,4,lola,0.03590275886153879,-0.03590275886153879,0.1539600717839002,0.4927347302143137,0.08962851360977828,0.05386709937881597,1.372318533206576,1.7658821157300366
rock_paper_scissors,"1,1",1.0,0,5,lola,0.003397561833513779,-0.003397561833513779,0.14226235280311383,0.618666921392658,0.11781867572770639,0.04911971660699558,1.4032519721051753,1.6387978468897568
rock_paper_scissors,"1,1",1.0,0,6,lola,0.11803284229810744,-0.11803284229810744,0.13244802086093616,0.6123930718225002,0.13716054683468606,0.04574450773680442,1.6375929843870638,1.5471865367506614
rock_paper_scissors,"1,1",1.0,0,7,lola,0.2784860734696226,-0.2784860734696226,0.12408064788027995,0.8316347924305822,0.14955384686430356,0.050303784785160024,1.7514576691642123,1.4554012863038213
rock_paper_scissors,"1,1",1.0,0,0,ew_lola,0.00405057909470341,-0.00405057909470341,0.2392558049953953,0.10633298898984533,0.012537197355767962,0.010721977602293353,1.4511838295890385,1.1143196798462034
rock_paper_scissors,"1,1",1.0,0,1,ew_lola,0.005767964665912409,-0.005767964665912409,0.20867794400977166,0.12459344501808631,0.027079553034026815,0.015623475762212166,0.8701673283569813,0.7227355077046038
rock_paper_scissors,"1,1",1.0,0,2,ew_lola,0.0422176935258797,-0.0422176935258797,0.18589446419403266,0.3211061502432099,0.03238209704566866,0.01921197028572709,1.0965036745540682,1.2096736968111081
rock_paper_scissors,"1,1",1.0,0,3,ew_lola,0.05772349860505588,-0.05772349860505588,0.16817928305074292,0.40533048417775525,0.050302277860357736,0.03625458616165497,1.140104419279313,1.1847913359506619
rock_paper_scissors,"1,1",1.0,0,4,ew_lola,0.12032897488367994,-0.12032897488367994,0.1539600717839002,0.5441223926640618,0.056230935974499574,0.05712814235896604,1.0642633489165152,1.3781152237019652
rock_paper_scissors,"1,1",1.0,0,5,ew_lola,0.03171606076667924,-0.03171606076667924,0.14226235280311383,0.39164342380000955,0.0711575528754703,0.07423508790625759,0.9182207306135219,1.5452386688324022
rock_paper_scissors,"1,1",1.0,0,6,ew_lola,0.059937444010997765,-0.059937444010997765,0.13244802086093616,0.5014858933682002,0.06563372570076119,0.0891170530485537,0.9296633092844837,1.5022489634028884
rock_paper_scissors,"1,1",1.0,0,7,ew_lola,0.0005227345359417324,-0.0005227345359417324,0.12408064788027995,0.3777598173895041,0.06309872312062256,0.0985983578536834,0.9546330392284736,1.5452956453465125
